"","x"
"771098",0
"1365889",0
"21207210",2
"24544081",22
"27434444",31.5
"38425204",0
"53630002",54.5333333333333
"53987483",113.1
"56897548",22453.4814624918
"62298501",0
"66231363",0
"68551808",0
"69540849",354.5
"69784543",0
"71452225",354.605158730159
"82708644",0
"86302728",0
"86325011",0
"97016928",82
"58821489",0
"15601695",0
"64332451",83.6575757575758
"107039962",30.1666666666667
"109458800",0
"113793858",33.6
"114702462",0
"115463415",0
"115742922",0
"122168659",0
"126953435",0
"136174036",498.016666666667
"148361626",0
"152506389",369.7
"153509885",2
"154472438",139.833333333333
"157251712",0
"157873616",160.666666666667
"160307228",0
"162576350",0
"165885910",0
"181529752",351
"189742998",291.5
"123701566",2188
"169739242",0
"225218192",0
"267850302",35
"304834817",0
"307744830",0
"344268215",0
"349434659",0
"619811882",0
"1435623351",0
"1480347379",0
"1480643256",2327.43086358086
"1486089539",2059.02777777778
"1487695060",0
"1487724874",0
"1487910914",0
"1490501255",41
"1493372406",108.5
"1499634344",25.5
"1499706286",271
"1494054390",10.4
"1484471192",4.5
"1501330831",0
"1505937442",210.833333333333
"1508257911",23
"1510526001",445.758333333333
"1516187024",0
"1517526469",41
"1517808374",196.433333333333
"1520045492",0
"1521958187",0
"1522345630",140.285714285714
"1526097585",724.942368742369
"1526673156",3.08333333333333
"1526790641",0
"1532499126",716.538095238095
"1534925209",14
"1536072320",0
"1536816303",7706.57445887446
"1537145174",1052.66904761905
"1540358749",0
"1541738043",20
"1543474109",11.5
"1545527235",58.3333333333333
"1546485431",186.616666666667
"1547925194",22.7833333333333
"1548189207",114
"1548207260",86
"1556251288",0
"1559312966",91.5
"1561152804",0
"1564186586",58.95
"1564627696",21.7833333333333
"1565746575",1036.2
"1566829490",34.5
"1567012231",18
"1568513780",76
"1571024744",6230.25050505051
"1571870753",2447.3619047619
"1572386387",0
"1573647811",356.111111111111
"1576638180",284.916666666667
"1578316706",91.5
"1581558595",6168.11374458875
"1581941705",883.916666666667
"1583555936",2702.55238095238
"1583700866",741.819047619048
"1584120419",721.6
"1584312612",1
"1584683589",0
"1584966980",0
"1585888610",11.3333333333333
"1586003574",1107.70476190476
"1586342396",0
"1592294486",0
"1593373597",0
"1594849649",0
"1597724706",0
"1506859583",17.5
"1537539030",3
"1545265859",17.5
"1521331776",8
"1539012881",6620.64229691877
"1569616332",0
"1510966913",0
"1505878979",113
"1600165106",0
"1605089207",0
"1605479404",1993.57222222222
"1607038179",186.5
"1607562333",0
"1617577371",438.5
"1618543586",40.4166666666667
"1638306878",40.5
"1645398407",4
"1647376582",853.078571428572
"1648231765",0
"1648445109",6340.59145021645
"1649659002",0
"1656335132",0
"1664825283",825.833333333333
"1680014149",976.020634920636
"1688775013",0
"1694674750",0
"1644838376",0
"1685973565",0
"1645893680",0
"1693343509",0
"1628307106",0
"1693986406",35
"1705406430",288.666666666667
"1714704734",2673.78801753802
"1724735345",223.75
"1730404227",6406.1383005883
"1735424305",0
"1753618630",98
"1754515228",0
"1758216174",0
"1760882240",12
"1762008180",3534.19205794206
"1790119552",65
"1731081199",0
"1743210689",0
"1772155168",0
"1800271513",207
"1802356529",180.833333333333
"1803708361",0
"1807347157",0
"1807800941",212.95
"1819308084",0
"1823022514",0
"1824309071",0
"1835900096",0
"1836500409",0
"1839367233",169
"1840091437",2391.80436507937
"1845812186",0
"1845972764",0
"1847890728",1641.5386002886
"1850488217",233
"1850984366",1594.89047619048
"1854718785",438.5
"1860991815",695.333333333333
"1864426711",0
"1869302287",0
"1869625623",676.366666666667
"1875842236",105.75
"1876044947",0
"1877845655",0
"1880342431",80.8333333333333
"1883877573",0
"1884597034",0
"1889629917",0
"1899621042",158.75
"1845160311",489.833333333333
"1839751919",0
"1831843218",224.5
"1893900968",100
"1824074430",0
"1868674569",32.45
"1880262756",962.852380952381
"1851360578",0
"1903303072",0
"1905898145",2577.37142857143
"1911494939",0
"1918179283",1905.70238095238
"1920010643",425.333333333333
"1921133930",0
"1925816294",0
"1930161385",502.5
"1934446750",64.5
"1939652453",5449.49981129981
"1941867114",0
"1943383135",9.5
"1949548705",0
"1955368298",295.9
"1957172765",0
"1958662094",0
"1981082061",0
"1920328734",0
"1931147640",221.452380952381
"1962325108",7.58333333333333
"1924642174",29.5
"2003328149",0
"2076798318",0
"2095705004",980.333333333333
"2095710475",375.083333333333
"2095762034",70.5
"2095776265",26
"2095895508",3987.63355810856
"2096006868",0
"2096289959",19
"2096310403",0
"2096496077",42
"2096520669",1805.16349206349
"2096536283",1095.65476190476
"2096613134",1123.2130952381
"2096630704",0
"2096765209",3921.85238095238
"2096904942",0
"2096920988",65.5
"2097058215",0
"2097100074",0
"2097101478",331.333333333333
"2097108250",0
"2097176879",584.326190476191
"2097381042",592.166666666667
"2097408416",275.833333333333
"2097417531",75.2333333333333
"2097421443",34.5
"2097462699",258.869047619048
"2097498341",0
"2097645432",106.388777888778
"2097645701",2516.13333333333
"2097676679",0
"2097795616",0
"2097860933",0
"2097939965",243.404761904762
"2097944542",0
"2097973429",486.5
"2097979671",101.5
"2097998348",752.533333333333
"2098044836",27
"2098250639",0
"2098300287",6725.31006493506
"2098396320",0
"2098729277",0
"2098899567",0
"2098957565",53.25
"2099008367",26.6166666666667
"2099322651",74.5
"2099362736",28
"2099479976",0
"2099614442",0
"2099685220",0
"2099693464",2320.7880952381
"2099900459",390.433333333333
"2099906136",9
"2099925654",92.6440476190476
"2099942883",13.1166666666667
"2099973661",1893.9
"2098376331",76.6166666666667
"2096989558",443.25
"2098441879",90.55
"2099953425",35
"2097384738",35.2833333333333
"2100045227",0
"2100564780",2484.25114052614
"2100683190",4
"2100726809",63.3333333333333
"2100754418",121.666666666667
"2100931213",107.742857142857
"2100967622",272.919047619048
"2100985998",0
"2101087512",2824.79166666667
"2101133635",0
"2101217650",0
"2101276256",3287.56807359308
"2101371964",132.366666666667
"2101557761",1731.77142857143
"2101561981",0
"2101577816",0
"2101791549",13
"2101946573",744.083333333333
"2102537236",93.8333333333333
"2102689555",88.1666666666667
"2102851236",0
"2102987267",0
"2103013841",1284.78333333333
"2103048296",14.8333333333333
"2103156296",0
"2103183297",0
"2103195393",0
"2103333826",239.258619158619
"2103336901",355.233333333333
"2103495670",0
"2103535498",0
"2103547885",0
"2103850933",35.8333333333333
"2103943817",23
"2103972570",1230.54047619048
"2104115362",0
"2104139380",0
"2104235537",0
"2104290444",1216.90476190476
"2104290684",35
"2104404561",0
"2104555144",602.597619047619
"2104564392",0
"2104580813",54.5833333333333
"2104759087",26
"2104827998",189
"2105000755",1390.96515151515
"2105004029",0
"2105136475",0
"2105180921",523.229761904762
"2105304730",227.833333333333
"2105480138",96
"2105503503",37
"2105577021",0
"2105842272",2752.3759018759
"2105845192",0
"2105918531",0
"2106053110",1094.1746031746
"2106063567",28.5
"2106525823",1076.8369047619
"2106564640",0
"2106614481",1648.01538461538
"2106809923",32.3333333333333
"2106895029",0
"2106944478",497.166666666667
"2107008825",502.559523809524
"2107134036",0
"2107151289",0
"2107218456",71
"2107275319",1428.03272005772
"2107381584",38.8333333333333
"2107386393",656.609523809524
"2107443860",290.645165945166
"2107455764",14
"2107496976",1849.95811688312
"2107603586",89.4166666666667
"2107753812",2698.75003607504
"2107866949",95
"2107890099",2425.5
"2107923541",0
"2107961375",205.2
"2107976320",67.2027777777778
"2108014210",32.3333333333333
"2108076437",73.5
"2108114251",106
"2108117158",0
"2108203280",0
"2108280101",77
"2108428725",264.916666666667
"2108435369",42
"2108455851",126.6
"2108475251",2689.60126262626
"2108626773",175
"2108687351",21854.0865758425
"2108719358",4.33333333333333
"2108822673",0
"2108931519",0
"2108973480",0
"2109042184",0
"2109110363",0
"2109141599",0
"2109182932",0
"2109531142",271.983333333333
"2109605413",632.017857142857
"2109743529",0
"2109834471",0
"2109848216",8.2
"2109984712",388.260714285714
"2110447197",0
"2110453538",0
"2110544382",0
"2110612061",0
"2110654099",0
"2110758705",4567.24603174603
"2110772804",0
"2110829980",0
"2110841704",1143.22575757576
"2110906765",0
"2111145173",280.5
"2111233787",145.283333333333
"2111297856",748.888095238095
"2111377143",1025.08015873016
"2111380642",81
"2111521164",425.916666666667
"2111579412",33
"2112005937",0
"2112088580",0
"2112192511",0
"2112480082",176.616666666667
"2112490010",559.762545787546
"2112733735",43.9333333333333
"2112761524",55
"2112856361",21
"2112953696",30.8333333333333
"2113078405",272.333333333333
"2113340410",27
"2113474244",40.3333333333333
"2113512957",61.0833333333333
"2113574411",0
"2113666837",0
"2113673796",0
"2113782937",0
"2113802117",212.666666666667
"2114067803",0
"2114102615",0
"2114134972",0
"2114194474",21
"2114235770",0
"2114338449",36.5
"2114390956",918.009523809524
"2114510685",0
"2114523181",181.166666666667
"2114551781",5
"2114583404",0
"2114690085",4442.00555555555
"2114727905",86
"2114760097",0
"2114860583",0
"2114901408",54.3666666666667
"2115078071",8
"2115106980",109
"2115140232",1199.91468253968
"2115252128",251.215151515152
"2115257201",120.516666666667
"2115364117",7215.86475468976
"2115557670",0
"2115595637",34
"2115640122",0
"2115694019",957.199206349207
"2115729631",890.876190476191
"2115899769",64.4440476190476
"2115933183",1042.4
"2115976142",0
"2116137244",218
"2116255678",0
"2116311558",10
"2116413942",7395.24329004329
"2116589987",826.853968253968
"2116616491",183.589285714286
"2116649530",0
"2116650673",1035.49285714286
"2116772053",2303.80238095238
"2116801843",2074.8
"2116882733",246.25
"2116908954",0
"2116931174",139
"2116948717",575.149603174603
"2117076645",59.8333333333333
"2117138194",545.233333333333
"2117146921",0
"2117355432",460.366666666667
"2117421927",0
"2117519995",55
"2117552256",32.7833333333333
"2117600734",629.583333333333
"2117626647",245.5
"2117661330",0
"2117669906",319.272402597403
"2117731643",0
"2117776955",95.8333333333333
"2117806412",0
"2117819897",0
