"","x"
"2154613642",0
"1832751096",0
"2043338016",0
"159610316",0
"1979876342",0
"2527611484",0
"2100308201",0
"2940493083",0
"2492806152",0
"2126135973",0
"2038762803",0
"2073631992",2795.99814255637
"1531155176",19757.4326119289
"2074453466",8688.2499639301
"2112199944",0
"2109451195",4
"134769616",35045.9164970344
"2117656073",0
"2162740804",18976.1731696499
"2137603918",2.66666666666667
"2148022289",27841.1523045008
"2168176072",61815.2999298032
"2051284938",0
"700636827",0
"2112820747",0
"2124912249",0
"2781013714",35457
"2130456104",88807.4492314119
"2080686788",0
"2443967568",39.5666666666667
"1991626505",0
"284171264",5
"2169305403",47479.0436981441
"2492472387",0
"2637284424",0
"2147379936",0
"2357338500",0
"1994714417",0
"2608064261",0
"563069026",13063.1502433239
"2470130636",0
"2686305946",0
"2092672596",11909
"2168470652",0
"2119641056",0
"2003447161",5109
"2104641164",1705
"2181724469",0
"2150814284",12328.4896555376
"2302610210",0
"2121337661",0
"2122775887",8
"2101964938",5109.5
"2286931549",0.5
"318894673",0
"2029583323",0
"2053214915",15291
"2511882603",0
"2167697970",0
"2344754685",0
"2003540582",2
"179778838",27522.5063460546
"2286740510",0.333333333333333
"2268535001",0.333333333333333
"2589362712",20.3333333333333
"409595830",0
"2191276622",0
"1993323803",0
"2170869525",0
"2051956577",10720.7386363636
"199276077",0
"2153839941",0
"2608526869",0
"2128278920",0
"2156064824",0
"1981682595",0
"2015750436",16
"2020844714",0
"2125896688",2
"126231427",0
"2015947465",0
"2151182894",0
"2012736320",153643.327636844
"1354816936",35908.7865528478
"2603014296",0
"2139423477",16548.7758055582
"2216252091",6074.98379007359
"327757988",6880.72688077954
"2619985137",9947.1026177996
"2791575804",0
"2614350313",27000.7436511874
"2546038995",0
"2470827293",0
"2047740876",0
"2152206228",3408
"2936186189",0
"2131244912",0
"2390296501",0
"2063101841",0
"2149260822",0
"421791603",0
"2778071696",0
"2159889819",0
"2155535925",0
"2120617359",4681.4184953935
"2215287472",44368.8415232054
"156417696",49038.9433624048
"2122006335",0
"130200899",193.097222222222
"278554428",0
"158093896",8
"280853906",0
"340297912",0
"2117928922",0
"1208873481",0
"2037010747",8756.26714981228
"2402050362",6808
"2100767082",27090
"2091041614",0
"669381866",0
"2531436365",0
"2304314937",6
"2138736700",30
"127037394",0
"2116155808",0
"102660889",5111
"161269817",36377.5655908505
"2142724104",1896.0187052435
"2151859571",2658.27387497716
"2689483121",0
"2137326150",15
"2133066616",0
"2080344424",1526.38491415332
"2016539005",85887.4388084117
"2396073053",646.759715232047
"168172700",29699.9659119427
"1977649925",25174.2268150791
"2141756282",0
"2199956820",0
"85581826",0
"344142627",14
"2662230710",0
"348660260",0
"2095384132",6
"2120464764",9.5
"2487798243",0
"188755819",0
"2161482269",0
"2650927445",0
"440525932",0
"2126649723",0
"5273470",0
"1910123730",0
"1976640904",34989.4517165014
"2101922781",45610.3024209336
"2136117749",0
"2632800540",0
"1980701853",27656.0420689071
"2134498512",0
"1572478601",480.271478921425
"2172053321",2391.14910983882
"2038901907",1705
"1981209670",3408
"2007149047",349.354109371021
"2777174945",176.880158730159
"2128721840",9842.0390149108
"1972291593",249677.10657558
"2122328552",28998.9819094306
"297432538",196675.814055671
"146839028",2263.25975012839
"1294330762",33094.2727535838
"2130015035",0
"2079278047",0
"2464448550",0
"2103999387",3994.24185913387
"2122471237",248.806168831169
"1483583928",89238.8196132032
"2225638692",18649.5
"2143234528",0
"2118051275",3
"1959501195",0
"2154343163",0
"2894397425",0
"2114473328",0
"120466312",0
"2076182545",35.3619769119769
"2147282416",3354.18227379376
"85537834",25740.8239638926
"2011819992",53957.3084322635
"228102912",0
"90224947",263.395238095238
"1995962232",0
"2121310506",117904.946224081
"2165137138",35496.4187403281
"2151264347",45173.4308927418
"92438100",83165.9689514326
"2144243776",0
"2015150056",0
"2086034959",0
"1982686475",1705
"2148448995",8
"2171367185",16453.6331456784
"2165695307",6788.18276246657
"2095218921",0
"2137567862",0
"2103857220",0
"2140912314",3408
"2134435012",0
"2423253281",0
"2327885379",0
"2136461225",0
"1993731499",0
"2173646266",23723
"1347151784",0
"135252792",3408
"2023387093",0
"2156686380",0
"193618192",0
"2159848645",30
"2277265283",0
"591830370",0
"1964062085",0
"1517047259",0
"2922806960",0
"2683627394",0
"1957122081",0
"1158934300",8509
"2499792786",0
"2589599210",10.5
"1922293178",0
"60139091",56024.3646969869
"2106487193",0
"2308666198",6808
"2035978339",265.723895044727
"2144214750",1563.67854569691
"2239053892",56615.6635917591
