"","x"
"771098",0
"1365889",0
"21207210",2
"24544081",1
"27434444",2
"38425204",0
"53630002",8
"53987483",1
"56897548",11
"62298501",0
"66231363",0
"68551808",0
"69540849",1
"69784543",0
"71452225",5
"82708644",0
"86302728",0
"86325011",0
"97016928",1
"58821489",0
"15601695",0
"64332451",1
"107039962",5
"109458800",0
"113793858",1
"114702462",0
"115463415",0
"115742922",0
"122168659",0
"126953435",0
"136174036",4
"148361626",0
"152506389",1
"153509885",1
"154472438",1
"157251712",0
"157873616",2
"160307228",0
"162576350",0
"165885910",0
"181529752",1
"189742998",7
"123701566",2
"169739242",0
"225218192",0
"267850302",2
"304834817",0
"307744830",0
"344268215",0
"349434659",0
"619811882",0
"1435623351",0
"1480347379",0
"1480643256",17
"1486089539",10
"1487695060",0
"1487724874",0
"1487910914",0
"1490501255",3
"1493372406",1
"1499634344",3
"1499706286",2
"1494054390",1
"1484471192",1
"1501330831",0
"1505937442",11
"1508257911",1
"1510526001",4
"1516187024",0
"1517526469",2
"1517808374",5
"1520045492",0
"1521958187",0
"1522345630",1
"1526097585",4
"1526673156",1
"1526790641",0
"1532499126",2
"1534925209",1
"1536072320",0
"1536816303",11
"1537145174",9
"1540358749",0
"1541738043",2
"1543474109",4
"1545527235",2
"1546485431",3
"1547925194",1
"1548189207",3
"1548207260",2
"1556251288",0
"1559312966",4
"1561152804",0
"1564186586",2
"1564627696",1
"1565746575",29
"1566829490",2
"1567012231",4
"1568513780",4
"1571024744",10
"1571870753",14
"1572386387",0
"1573647811",6
"1576638180",2
"1578316706",2
"1581558595",3
"1581941705",9
"1583555936",7
"1583700866",3
"1584120419",1
"1584312612",1
"1584683589",0
"1584966980",0
"1585888610",1
"1586003574",19
"1586342396",0
"1592294486",0
"1593373597",0
"1594849649",0
"1597724706",0
"1506859583",1
"1537539030",1
"1545265859",1
"1521331776",1
"1539012881",5
"1569616332",0
"1510966913",0
"1505878979",5
"1600165106",0
"1605089207",0
"1605479404",12
"1607038179",2
"1607562333",0
"1617577371",3
"1618543586",2
"1638306878",3
"1645398407",2
"1647376582",29
"1648231765",0
"1648445109",29
"1649659002",0
"1656335132",0
"1664825283",1
"1680014149",4
"1688775013",0
"1694674750",0
"1644838376",0
"1685973565",0
"1645893680",0
"1693343509",0
"1628307106",0
"1693986406",2
"1705406430",1
"1714704734",16
"1724735345",6
"1730404227",3
"1735424305",0
"1753618630",1
"1754515228",0
"1758216174",0
"1760882240",3
"1762008180",15
"1790119552",1
"1731081199",0
"1743210689",0
"1772155168",0
"1800271513",3
"1802356529",3
"1803708361",0
"1807347157",0
"1807800941",4
"1819308084",0
"1823022514",0
"1824309071",0
"1835900096",0
"1836500409",0
"1839367233",1
"1840091437",1
"1845812186",0
"1845972764",0
"1847890728",5
"1850488217",7
"1850984366",2
"1854718785",1
"1860991815",11
"1864426711",0
"1869302287",0
"1869625623",3
"1875842236",1
"1876044947",0
"1877845655",0
"1880342431",2
"1883877573",0
"1884597034",0
"1889629917",0
"1899621042",1
"1845160311",2
"1839751919",0
"1831843218",1
"1893900968",2
"1824074430",0
"1868674569",1
"1880262756",42
"1851360578",0
"1903303072",0
"1905898145",6
"1911494939",0
"1918179283",5
"1920010643",3
"1921133930",0
"1925816294",0
"1930161385",1
"1934446750",1
"1939652453",12
"1941867114",0
"1943383135",1
"1949548705",0
"1955368298",2
"1957172765",0
"1958662094",0
"1981082061",0
"1920328734",0
"1931147640",1
"1962325108",1
"1924642174",1
"2003328149",0
"2076798318",0
"2095705004",6
"2095710475",3
"2095762034",3
"2095776265",2
"2095895508",3
"2096006868",0
"2096289959",2
"2096310403",0
"2096496077",1
"2096520669",10
"2096536283",2
"2096613134",2
"2096630704",0
"2096765209",11
"2096904942",0
"2096920988",2
"2097058215",0
"2097100074",0
"2097101478",2
"2097108250",0
"2097176879",1
"2097381042",2
"2097408416",1
"2097417531",4
"2097421443",1
"2097462699",6
"2097498341",0
"2097645432",2
"2097645701",5
"2097676679",0
"2097795616",0
"2097860933",0
"2097939965",5
"2097944542",0
"2097973429",4
"2097979671",3
"2097998348",8
"2098044836",1
"2098250639",0
"2098300287",7
"2098396320",0
"2098729277",0
"2098899567",0
"2098957565",1
"2099008367",1
"2099322651",2
"2099362736",1
"2099479976",0
"2099614442",0
"2099685220",0
"2099693464",8
"2099900459",7
"2099906136",1
"2099925654",4
"2099942883",1
"2099973661",6
"2098376331",2
"2096989558",2
"2098441879",1
"2099953425",1
"2097384738",1
"2100045227",0
"2100564780",4
"2100683190",1
"2100726809",2
"2100754418",1
"2100931213",1
"2100967622",3
"2100985998",0
"2101087512",5
"2101133635",0
"2101217650",0
"2101276256",30
"2101371964",3
"2101557761",10
"2101561981",0
"2101577816",0
"2101791549",1
"2101946573",6
"2102537236",1
"2102689555",1
"2102851236",0
"2102987267",0
"2103013841",4
"2103048296",3
"2103156296",0
"2103183297",0
"2103195393",0
"2103333826",3
"2103336901",4
"2103495670",0
"2103535498",0
"2103547885",0
"2103850933",1
"2103943817",1
"2103972570",6
"2104115362",0
"2104139380",0
"2104235537",0
"2104290444",21
"2104290684",1
"2104404561",0
"2104555144",2
"2104564392",0
"2104580813",1
"2104759087",1
"2104827998",4
"2105000755",1
"2105004029",0
"2105136475",0
"2105180921",2
"2105304730",3
"2105480138",1
"2105503503",1
"2105577021",0
"2105842272",17
"2105845192",0
"2105918531",0
"2106053110",14
"2106063567",1
"2106525823",6
"2106564640",0
"2106614481",2
"2106809923",2
"2106895029",0
"2106944478",1
"2107008825",6
"2107134036",0
"2107151289",0
"2107218456",2
"2107275319",12
"2107381584",1
"2107386393",11
"2107443860",1
"2107455764",1
"2107496976",3
"2107603586",4
"2107753812",3
"2107866949",1
"2107890099",19
"2107923541",0
"2107961375",9
"2107976320",1
"2108014210",1
"2108076437",1
"2108114251",7
"2108117158",0
"2108203280",0
"2108280101",1
"2108428725",4
"2108435369",2
"2108455851",2
"2108475251",7
"2108626773",2
"2108687351",7
"2108719358",1
"2108822673",0
"2108931519",0
"2108973480",0
"2109042184",0
"2109110363",0
"2109141599",0
"2109182932",0
"2109531142",4
"2109605413",2
"2109743529",0
"2109834471",0
"2109848216",1
"2109984712",3
"2110447197",0
"2110453538",0
"2110544382",0
"2110612061",0
"2110654099",0
"2110758705",10
"2110772804",0
"2110829980",0
"2110841704",3
"2110906765",0
"2111145173",1
"2111233787",9
"2111297856",4
"2111377143",8
"2111380642",4
"2111521164",5
"2111579412",1
"2112005937",0
"2112088580",0
"2112192511",0
"2112480082",4
"2112490010",4
"2112733735",1
"2112761524",1
"2112856361",1
"2112953696",2
"2113078405",1
"2113340410",1
"2113474244",2
"2113512957",2
"2113574411",0
"2113666837",0
"2113673796",0
"2113782937",0
"2113802117",1
"2114067803",0
"2114102615",0
"2114134972",0
"2114194474",1
"2114235770",0
"2114338449",3
"2114390956",1
"2114510685",0
"2114523181",1
"2114551781",1
"2114583404",0
"2114690085",4
"2114727905",1
"2114760097",0
"2114860583",0
"2114901408",4
"2115078071",1
"2115106980",2
"2115140232",3
"2115252128",5
"2115257201",3
"2115364117",8
"2115557670",0
"2115595637",1
"2115640122",0
"2115694019",17
"2115729631",4
"2115899769",1
"2115933183",3
"2115976142",0
"2116137244",5
"2116255678",0
"2116311558",1
"2116413942",9
"2116589987",3
"2116616491",3
"2116649530",0
"2116650673",2
"2116772053",6
"2116801843",6
"2116882733",3
"2116908954",0
"2116931174",2
"2116948717",4
"2117076645",1
"2117138194",2
"2117146921",0
"2117355432",6
"2117421927",0
"2117519995",1
"2117552256",1
"2117600734",1
"2117626647",4
"2117661330",0
"2117669906",1
"2117731643",0
"2117776955",3
"2117806412",0
"2117819897",0
"2117824861",4
"2117847193",0
"2118017676",0
"2118047185",3
"2118137541",1
"2118280509",0
"2118353660",4
"2118367760",0
"2118443521",0
"2118585731",33
"2118655449",0
"2118713255",2
"2118934678",2
"2118936174",0
"2118997898",0
"2119073761",12
"2119105030",0
"2119187866",8
"2119290215",1
"2119320253",1
"2119381450",0
"2119393863",1
"2119451546",5
"2119479037",29
"2119521930",0
"2119611763",1
"2119638507",3
"2119830539",2
"2119851445",0
"2119869458",1
"2119883797",1
"2120173732",0
"2120239875",0
"2120286392",2
"2120346334",11
"2120362738",1
"2120450109",9
"2120470041",1
"2120846115",2
"2120872934",6
"2121033924",18
"2121153869",1
"2121278962",1
"2121667911",2
"2121703796",3
"2121733891",0
"2121749752",2
"2121763547",0
"2121824931",5
"2121946739",1
"2122018120",0
"2122052811",0
"2122124659",1
"2122168905",5
"2122176428",3
"2122179032",0
"2122222320",0
"2122350398",3
"2122361883",1
"2122477182",1
"2122565017",3
"2122634476",1
"2122925131",2
"2122947307",0
"2122992239",1
"2122994019",0
"2123107849",2
"2123170466",3
"2123447947",3
"2123681024",5
"2123856749",6
"2124101779",21
"2124225314",9
"2124231679",1
"2124232193",1
"2124509762",0
"2124894873",0
"2124951716",3
"2125035899",0
"2125085449",1
"2125156589",5
"2125310487",0
"2125362335",0
"2125756390",0
"2125795421",1
"2126046032",0
"2126049034",0
"2126061911",2
"2126275630",0
"2126408332",0
"2126413878",0
"2126447117",5
"2126528747",1
"2126569875",1
"2126700535",4
"2126750886",1
"2127082287",1
"2127159115",2
"2127199780",3
"2127278328",0
"2127300676",0
"2127564752",0
"2127658298",2
"2127770723",0
"2127785841",2
"2127883478",2
"2128025294",2
"2128110671",3
"2128209899",3
"2128345262",3
"2128409240",0
"2128466927",0
"2128529555",7
"2128584444",1
"2128715378",0
"2128823902",0
"2128842804",1
"2128889245",0
"2129116669",1
"2129278264",2
"2129293958",0
"2129479338",1
"2129511572",0
"2129714350",0
"2129869534",0
"2129887565",2
"2129942152",0
"2130005627",24
"2130088686",1
"2130318956",0
"2130464645",0
"2130517245",1
"2130561717",0
