"","x"
"2154613642",5
"1832751096",5
"2043338016",5
"159610316",5
"1979876342",5
"2527611484",5
"2100308201",5
"2940493083",5
"2492806152",5
"2126135973",5
"2038762803",1
"2073631992",8
"1531155176",11
"2074453466",8
"2112199944",2
"2109451195",4
"134769616",10
"2117656073",3
"2162740804",13
"2137603918",7
"2148022289",16
"2168176072",42
"2051284938",2
"700636827",2
"2112820747",1
"2124912249",2
"2781013714",7
"2130456104",22
"2080686788",3
"2443967568",5
"1991626505",1
"284171264",6
"2169305403",14
"2492472387",4
"2637284424",4
"2147379936",1
"2357338500",3
"1994714417",3
"2608064261",3
"563069026",10
"2470130636",2
"2686305946",2
"2092672596",9
"2168470652",3
"2119641056",3
"2003447161",8
"2104641164",4
"2181724469",3
"2150814284",11
"2302610210",3
"2121337661",1
"2122775887",7
"2101964938",8
"2286931549",5
"318894673",3
"2029583323",3
"2053214915",20
"2511882603",5
"2167697970",5
"2344754685",5
"2003540582",6
"179778838",20
"2286740510",4
"2268535001",4
"2589362712",8
"409595830",1
"2191276622",4
"1993323803",3
"2170869525",3
"2051956577",14
"199276077",1
"2153839941",2
"2608526869",2
"2128278920",4
"2156064824",4
"1981682595",4
"2015750436",8
"2020844714",5
"2125896688",6
"126231427",5
"2015947465",5
"2151182894",1
"2012736320",45
"1354816936",18
"2603014296",2
"2139423477",8
"2216252091",8
"327757988",6
"2619985137",10
"2791575804",3
"2614350313",18
"2546038995",2
"2470827293",2
"2047740876",1
"2152206228",6
"2936186189",2
"2131244912",4
"2390296501",4
"2063101841",4
"2149260822",4
"421791603",3
"2778071696",3
"2159889819",3
"2155535925",3
"2120617359",8
"2215287472",18
"156417696",9
"2122006335",4
"130200899",7
"278554428",1
"158093896",2
"280853906",3
"340297912",3
"2117928922",3
"1208873481",1
"2037010747",13
"2402050362",3
"2100767082",10
"2091041614",2
"669381866",2
"2531436365",1
"2304314937",4
"2138736700",4
"127037394",1
"2116155808",2
"102660889",3
"161269817",24
"2142724104",4
"2151859571",5
"2689483121",1
"2137326150",5
"2133066616",3
"2080344424",4
"2016539005",28
"2396073053",4
"168172700",26
"1977649925",12
"2141756282",1
"2199956820",1
"85581826",1
"344142627",7
"2662230710",4
"348660260",4
"2095384132",6
"2120464764",6
"2487798243",2
"188755819",3
"2161482269",3
"2650927445",3
"440525932",1
"2126649723",2
"5273470",2
"1910123730",1
"1976640904",9
"2101922781",22
"2136117749",2
"2632800540",9
"1980701853",26
"2134498512",9
"1572478601",11
"2172053321",19
"2038901907",10
"1981209670",11
"2007149047",12
"2777174945",11
"2128721840",15
"1972291593",43
"2122328552",24
"297432538",41
"146839028",3
"1294330762",10
"2130015035",2
"2079278047",2
"2464448550",2
"2103999387",6
"2122471237",8
"1483583928",15
"2225638692",6
"2143234528",1
"2118051275",4
"1959501195",1
"2154343163",1
"2894397425",1
"2114473328",2
"120466312",2
"2076182545",4
"2147282416",9
"85537834",14
"2011819992",26
"228102912",8
"90224947",4
"1995962232",3
"2121310506",25
"2165137138",11
"2151264347",8
"92438100",20
"2144243776",1
"2015150056",1
"2086034959",1
"1982686475",4
"2148448995",7
"2171367185",6
"2165695307",3
"2095218921",3
"2137567862",3
"2103857220",3
"2140912314",2
"2134435012",4
"2423253281",4
"2327885379",4
"2136461225",4
"1993731499",3
"2173646266",14
"1347151784",3
"135252792",3
"2023387093",1
"2156686380",6
"193618192",6
"2159848645",9
"2277265283",6
"591830370",6
"1964062085",6
"1517047259",2
"2922806960",2
"2683627394",1
"1957122081",1
"1158934300",6
"2499792786",1
"2589599210",4
"1922293178",2
"60139091",10
"2106487193",1
"2308666198",7
"2035978339",5
"2144214750",5
"2239053892",12
"2002718369",3
"2240528681",3
"288626473",14
"2171234738",12
"1889475642",6
"284430083",5
"2420433332",4
"156875573",2
"2123437293",2
"2065634026",2
"2303998404",5
"12615902",2
"1838593635",2
"2271037092",3
"1828928408",5
"2047782467",3
"2271586418",7
"2507508090",7
"2130645691",9
"1963576484",20
"2076579854",13
"2241827754",7
"2109192563",4
"2125674462",4
"2050285938",4
"2047091263",4
"1979796846",5
"389943480",3
"2014508897",6
"1617862073",3
"2142350131",1
"2510858842",27
"1975997033",19
"2020848595",3
"2144842984",1
"2154409344",4
"2751828274",2
"2589844882",5
"2063782688",10
"2097703981",3
"738756060",5
"2289223277",1
"2462785460",7
"229038272",19
"2170236347",2
"2099991264",2
"2330451",4
"1273563922",4
"2022407533",4
"2021640924",7
"2422299352",5
"297969600",4
"659530374",4
"18839523",4
"2116283648",4
"2883894277",4
"323026139",4
"1977456590",2
"2169643102",2
"243317564",5
"1991226362",2
"2144579353",1
"2469499809",2
"2100576291",5
"206561400",3
"123429344",2
"2764508250",2
"1735999048",4
"66742930",4
"280947557",4
"2792877023",5
"1977535315",7
"2302541017",3
"2074451410",6
"2150887997",6
"2161866848",10
"2122791383",5
"2288456018",2
"193620349",4
"2120283233",4
"2146032592",4
"2595303683",4
"2138469899",4
"2104401652",4
"2435751034",39
"2589372010",4
"2565831568",4
"2065379623",9
"2303367283",6
"2663593097",7
"2103752940",4
"2148425697",20
"2670317987",3
"2416393701",3
"1725255474",3
"2141705163",15
"278177626",18
"2530970829",2
"2583105289",2
"1966777347",4
"2037585042",10
"2033403132",18
"2951517468",4
"2148168557",13
"694839594",1
"2192667492",3
"2269886024",2
"235001993",2
"2299591329",3
"257753334",3
"690249449",1
"2221257390",3
"2138790093",1
"2098400666",6
"285028944",2
"2277140718",2
"2134830209",6
"2304993124",6
"297547182",3
"2068402382",2
"2108011552",6
"254766753",12
"2021036281",19
"2432732352",4
"2570355144",4
"2123681035",2
"2045140648",1
"215131072",4
"2031945151",4
"2252608274",17
"2103969243",2
"2165714491",9
"2126237948",6
"2189262995",21
"1991131908",10
"707865762",8
"2163446563",6
"2121236236",4
"2012499344",4
"2139785505",10
"1993564419",3
"2072849696",12
"1974025617",6
"184409032",5
"1970391018",4
"160904506",1
"2108214723",3
"2012618226",3
"1964335307",3
"2019029176",3
"1484279603",8
"2291088731",24
"2059658689",1
"2147187202",3
"185521244",3
"2117083220",3
"2062859054",2
"1915993033",4
"2209303800",7
"2148468833",2
"2109349986",7
"2425213602",3
"2126011899",3
"1533552536",3
"2147180669",3
"2395024022",6
"2238207816",2
"2119837755",3
"2224270997",5
"48369249",8
"2161997389",1
"2127665774",14
"329970184",2
"1997216218",4
"2096910461",5
"2027031515",4
"2013437929",5
"2113251341",5
"2098711253",6
"2166051670",4
"2602597016",3
"2609429555",7
"2012385898",4
"829422133",1
"2951171686",11
"1994434233",4
"2103844955",4
"2078733490",4
"2129170864",4
"2099647344",15
"2417153716",5
"2002796636",1
"2154334569",3
"2022097030",3
"38845618",4
"2141521478",3
"81432956",3
"1121136751",3
"2468732989",3
"2109513205",22
"2224734472",3
"2135804864",2
"2134439617",2
"2291484769",1
"1994240001",6
"2104519264",2
"2114744800",2
"2169899387",2
"2156482873",4
"2652544568",10
"2167964723",11
"2924230307",5
"1264356972",2
"2312000221",10
"2479529389",2
"2706776965",2
"289005672",9
"24043401",2
"2102146905",2
"351197510",22
"2143134920",1
"1997770228",5
"102605680",3
"253203803",4
"2089047320",4
"1899107019",2
"2011763083",2
"2302858353",4
"2123697688",3
"2137006243",3
"2098297204",7
"2409260842",10
"1624046946",4
"2951126644",2
"2108362240",3
"2143448784",3
"2438699337",5
"2234086281",7
"1974086637",1
"2111015811",3
"2079889949",5
"37742912",8
"2118884691",7
"2035656122",3
"2778963749",3
"2018642088",1
"2277778369",2
"2231148827",1
"1999489753",3
"2238283877",3
"1436807182",1
"1089947631",3
"1893736562",2
"2655389208",6
"320506402",4
"2168593634",1
"2104546489",3
"2134151728",7
"2028927923",14
"339370955",7
"2104398107",1
"157591724",5
"2303702895",5
"2602563467",5
"2175944703",5
"815211217",5
"2116269587",2
"2011629544",1
"2077766773",2
