"","vector","value","options.bmat","options.n","options.which","options.nev","options.tol","options.ncv","options.ldv","options.ishift","options.maxiter","options.nb","options.mode","options.start","options.sigma","options.sigmai","options.info","options.iter","options.nconv","options.numop","options.numopb","options.numreo"
"771098",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"1365889",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"21207210",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"24544081",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"27434444",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"38425204",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"53630002",1.47610058775109e-17,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"53987483",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"56897548",0.120374737121601,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"62298501",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"66231363",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"68551808",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"69540849",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"69784543",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"71452225",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"82708644",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"86302728",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"86325011",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
"97016928",0,1.9497875240786,"I",19169,"LR",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,36
