"","vector","value","options.bmat","options.n","options.which","options.nev","options.tol","options.ncv","options.ldv","options.ishift","options.maxiter","options.nb","options.mode","options.start","options.sigma","options.sigmai","options.info","options.iter","options.nconv","options.numop","options.numopb","options.numreo"
"2154613642",2.98497919611748e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"1832751096",3.36147946395304e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2043338016",3.73240210084667e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"159610316",3.62924907640297e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"1979876342",3.60920567351267e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2527611484",3.55020139503964e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2100308201",2.96885873727154e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2940493083",3.75931330416203e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2492806152",3.67124971308963e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2126135973",3.64202589521182e-17,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2038762803",0,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2073631992",1.70067680541327e-05,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"1531155176",1.81909610624147e-05,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2074453466",0.000167947767461053,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2112199944",0,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2109451195",0,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"134769616",1.14278935094218e-06,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
"2117656073",5.43118797047027e-08,23.0999481384706,"I",4798,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,3,1,40,0,36
