"","x"
"105550267",49.6666666666667
"222799958",662.333333333333
"260169811",0
"268387596",0
"418096420",0
"425251948",155.5
"438737996",0
"565356442",31.5
"570692371",101.833333333333
"572039631",0
"574505275",0
"583087833",0
"587473303",22
"593800181",0
"603823736",0
"604457568",4
"606205799",0
"607462674",0
"610429473",0
"623374258",0
"623540751",16.25
"635933821",0
"646598831",0
"650677643",0
"651404864",0
"747418368",20
"758560933",458.833333333333
"766298144",0
"768904567",0
"774799944",0
"775667422",514
"792636309",0
"821549425",0
"826931093",107.5
"828169548",34.8333333333333
"862380392",0
"873631249",0
"886281537",0
"887237860",0
"905830137",0
"906515803",125
"919364087",90
"937255976",0
"947982744",0
"969805929",0
"970477654",0
"977182947",232.5
"1002857674",198.5
"1019953897",0
"1021258951",0
"1025617754",0
"1026105792",0
"1031493043",0
"1041212212",182
"1051230991",0
"1085564320",0
"1089640552",0
"1103625893",17
"1104139305",57.5
"1115808681",0
"1116688463",0
"1126102950",16
"1143616857",34
"1156400939",0
"1158789509",392.25
"1163812319",0
"1173986112",36
"1143553410",21
"1203431557",0
"1203972190",0
"1232735578",0
"1236338176",18
"1238303787",0
"1251066901",74.6428571428571
"1254164341",63.75
"1264850517",48.5
"1271869216",0
"1443987605",0
"1473192048",0
"1486385073",27
"1489216686",0
"1500318002",0
"1506308886",0
"1514749982",0
"1573626183",36.5
"1577581222",0
"1611054133",120
"1669317186",0
"1670478552",4
"1722943253",28
"1751255324",0
"1751753901",151.25
"1752277144",0
"1754145126",0
"1773327045",0
"1775827615",0
"1778545351",0
"1779908107",17
"1802301915",0
"1808603090",354.166666666667
"1809086624",0
"1817805185",51.5
"1819491323",0
"1827785748",327.333333333333
"1844422699",0
"1845048434",0
"1849547295",102
"1851814560",0
"1852394669",0
"1853137905",0
"1862849385",0
"1862882477",0
"1869924930",174
"1873395240",0
"1881965799",0
"1899710639",0
"1884018204",0
"1911525392",0
"1923637677",33.3333333333333
"1941121452",0
"1943173819",0
