"","x"
"2136098704",7102
"3006715596",0
"2134617069",0
"2147303057",0
"2173928475",0
"2110372033",4
"2798740569",0
"2166169346",0
"2999806802",0
"2896925261",0
"2332431601",31.5
"2997361570",0
"2485990391",0
"2910805963",0
"2321956385",6917
"3000644883",0
"1957726339",0
"2085880977",73174.6666666667
"2117227233",0
"2195084585",0
"2281328248",0
"2964416584",0
"2077412667",250
"2170486521",0
"2275925890",0
"2006696304",0
"1981808175",0
"2155459209",0
"2432240979",0
"2998323256",0
"2145800998",0
"2677303338",0
"275295449",0
"2674943498",12
"2169730264",0
"2558643326",0
"2054370344",0
"2097307632",0
"2165524834",0
"2128744914",0
"2999847296",0
"2170902746",0
"2619953172",0
"3006027662",0
"2510357480",0
"2174223982",0
"2108281707",1257.44297088878
"2798324345",0
"2485693601",161.75
"2108610973",0
"116651648",0
"2286854676",3474
"2307810573",0
"2512295138",0
"230207152",0
"640907747",1.5
"2062274946",3.33333333333333
"2296790386",0
"2136971955",33345.0161000765
"2920079408",0
"2097780584",0
"2110317904",27664
"2551967728",0
"2163806414",0
"2193519928",5217
"2140119931",0
"2440293705",0
"2234054260",0
"2124853440",12501.592166496
"2562496240",0
"2261180507",32759.5
"3007518425",0
"2145662684",0
"2156563753",0
"2106866729",5490.09523809523
"2647258314",0
"2162969788",0
"1967647065",2
"2056162298",0
"2343220795",0
"2133446560",0
"2996839376",0
"2123363778",0
"2118388651",179.281818181818
"2780081819",0
"2118589368",0
"2304091908",0
"2057381973",0
"2223955259",0
"2080198120",0
"2140239056",5
"2558653614",3474
"2073005353",0
"2539872688",0
"2770665993",0
"2984503296",0
"2768376156",0
"2037696420",0
"2888169797",0
"2320975971",0
"2171310226",9542.5
"1125327664",0
"179541017",96
"2155868506",0
"2094422214",0
"2893846696",0
"2962821195",0
"2160322232",140
"2294809260",3.5
"2948330660",66
"2150171160",4
"2039272832",48
"2470191313",0
"2564026647",0
"3005761517",0
"2720128845",0
"2047018924",230372.273445208
"2609446076",0
"2658314510",0
"2136579810",0
"1856602114",0
"2129805964",0
"2195225068",58292.5
"2296660320",20
"2889782944",0
"2111257968",0
"3006142296",0
"2887262756",0
"2796845598",0
"2163449569",1
"274972177",2
"2018885664",0
"2746886937",0
"2791575240",0
"2698141184",0
"2636682381",0
"2936210408",0
"2595547658",0
"2102780747",21
"2644399636",0
"167516114",15587
"2167944170",44
"1892887339",0
"2117676153",0
"2953065459",0
"2947046107",0
"2508661792",0
"2162010601",66854
"436904763",0
"3000386758",0
"3003244807",0
"3002020858",0
"2949686457",0
"40878555",35
"2266841784",0
"1443938704",73229.074048067
"2238785460",2094.5
"2105138128",0
"2169565136",27
"2938699281",0
"2892098466",0
"2713950430",0
"1948338481",155949.761609078
"1673229304",3480
"2648197827",0
"3004290176",0
"704649009",0
"2106183752",36141
"2749568669",0
"2763033097",0
"2357781182",0
"2174356259",0
"2433467202",0
"2531808912",0
"2797625337",0
"1788793785",0
"572302453",0
"2287904115",0
"3004283906",0
"2607399926",9
"2079098163",0
"2500611281",0
"2009677660",0
"2182147601",5058.31219336219
"314873480",0
"1965266424",14687
"2423074595",0
"2151224058",0
"2941715473",0
"2638270563",21
"2136058733",0
"3004543255",0
"2490986640",0
"2194876819",0
"2998971594",0
"2014607665",0.5
"2169738214",0
"158967732",0
"3004036011",0
"2132997581",0
"2633435259",0
"2138894890",0
"2999836587",0
"3005839203",0
"2134093772",0
"2997112770",0
"2941906049",0
"2885126139",0
"2696194392",0
"3003752352",0
"2999495288",0
"1970819201",0
"63289654",0
"3004630948",0
"198704597",3
"2944808689",0
"2681599617",0
"2104966132",8
"2664766687",0
"2310152914",0
"2097310009",0
"2236254776",0
"2950522178",0
"2618285502",13
"2009470241",17449.5851449816
"2775994258",3480
"2543966792",0.25
"2542471538",193.666666666667
"2426658625",193.5
"2499240817",0
"2127391913",0
"1277157658",47457.9326991254
"2308477480",0
"2792228532",0
"2134485652",0
"2737599659",0
"2615857168",0
"2294319848",25.3333333333333
"2322714412",0
"2144579353",0
"2161120296",0
"2892851174",0
"2687074801",0
"2050986251",0
"2747680830",0
"2690792380",0
"2764180139",0
"1977540554",0
"1860074921",0
"2786627151",182875
"2115208672",0
"2105058880",24.5
"1944224191",0
"2678776539",0
"3005735492",0
"2163341010",8
"3005093938",0
"2494791600",0
"2886336636",0
"3008472974",0
"1971588212",370.581818181819
"2717381137",1
"2319292354",6952
"3004048108",0
"2635185824",27616
"2809032349",0
"2095609082",89463.9079543577
"2102662993",0
"2999838301",0
"2248511097",0
"2110614808",0
"1552654521",3.33333333333333
"2550077121",0
"2117570634",0
"874345256",0
"2800055794",0
"2125367956",0
"2169748419",0
"2556284585",0
"247602115",0
"2118415179",0
"2122340056",13
"2249216824",10
"219847304",0
"2234366104",0
"2931530503",0
"2124878713",0
"2903466041",0
"2386215373",0
"2776639105",0
"1885380884",1741
"2275614120",0
"2096211909",0
"2170828120",0
"2103709473",0
"2306497784",0
"2170639504",0
"2937346172",0
"2418407635",0
"2170453683",0
"429846306",0
"2593217274",0
"2924422597",0
"2038601627",0
"3003894561",0
"2500705932",0
"2705748369",0
"2620747445",0
"2977657570",0
"2766152134",0
"2152366099",0
"2128152476",0
"2025175416",0
"2557919514",0
"2156148776",24263.5
"2617022538",0
"1251069865",0
"2398618977",0
"2121124579",0
"3003355394",0
"2996989305",0
"2926476112",0
"263878853",27
"2599024602",0
"3004617105",0
"3006346024",0
"2575673690",0
"1465965913",0
"2103741901",7
"2617157853",0
"2101759913",12
"1438718674",0
"258572996",0
"2788228921",0
"2470973058",18
"2151258658",0
"3006205960",0
"34945329",0
"2101380955",0
"3003511018",0
"2897616840",0
"3000705042",0
"2677411677",0
"2883007937",0
"2225060778",0
"2810651818",0
"3004888401",0
"2298816413",0
"2884919769",0
"2162881848",0
"2944114161",0
"3002624360",0
"3006523250",0
"2125087777",0
"1187850377",0
"2673033531",60
"2134070390",0
"2421178130",0
"2023677657",0
"2144072449",0
"2605584691",0
"2165712619",26
"1991228354",0
"2999137392",0
"2165953393",2.83333333333333
"1973825838",0
"2157277216",34.25
"2295751673",0
"2102926800",0
"2154650011",0
"2558126850",0
"2608591727",0
"2607121186",0
"2158735678",1
"2268141372",0
"699882257",0
"2135022376",0
"2571940285",0
"3003300905",0
"2172003160",4.5
"2130456104",2
"3003184697",0
"2115331153",0
"2294794896",0
"2144112298",20625.9692307694
"2169132994",0
"2462001459",0
"2098116090",0.5
"2999010976",0
"2102146905",22
"2974668715",0
"120405888",461.791666666667
"3006857960",0
"2557303574",0
"2809200576",0
"2443579806",0.5
"2586269146",0
"2806062742",0
"2198658024",0
"3003485415",0
"2765341313",0
"3006748205",0
"2963586417",0
"2980869482",1739
"2913852786",0
"2251526302",0
"2997270608",0
"2557911504",0
"2112648600",0
"2281648074",0
"3005243116",0
"2610394881",90.5
"2131591457",30
"1964061147",0
"2214795894",0
"2315179577",463762.807042551
"2096290700",0
"2477199588",0
"2999374539",0
"2121873674",0
"1983924857",0
"2223023960",0.5
"2114360928",0
"2311804377",0
"2630036705",0
"2170103298",0
"2293646133",0
"2129149960",0
"2973749234",0
"2286822304",0
"2969791088",0
"2936482664",0
"2796830074",0
"1595715809",5
"3005726546",0
"1224594970",2799.64626759197
"2636846031",0
"2131242899",0
"2156729432",0
"2997047872",0
"2233540113",0
"3001526522",0
"2142858875",0
"2706726889",0
"3005975708",0
"2643503306",0
"2129944720",0
"2734440682",0
"2140996654",21
"2120526659",0
"2805807800",0
"2999302753",0
"2754333824",0
"2632670945",0
"2722288637",1.33333333333333
"2145113894",0
"2665324530",0
"2974456812",0
"1954383733",0
"2161839781",0
"2765214844",0
"3006416120",0
"2783859002",0
"2596133846",0
"2163568999",0
"2925990410",0
"2679721787",6
"2168677721",46
"1911282488",0
"2898527474",0
"2098147036",0
"2095881826",0
"2100469712",8.25
"2121317443",56
"1623800171",0
"2439275045",129
"2346303213",0
"2690363857",5217
"301702145",2
"2102438864",0
"2792350031",0
"2556489938",0
"2346021873",0
"2998118699",0
"2803363250",0
"2470375243",3
"2121054036",0
"2112196210",44
"3003643796",0
"2568328249",0
"2069524442",0
"2648639496",0
"2093693836",0
"2089457162",0
"3004054203",0
"2560134948",0
"2986988233",0
"2953178713",0
"1952864538",0
"2943101924",0
"1988380700",73832.1140569429
"2111134424",78477.5
"2568389241",63171.1500702473
"190355819",0
"2971515024",0
"1997316624",2386.01111111111
"2999847488",0
"2156631368",0
"3000592496",0
"2110955872",0
"3004994065",0
"3003809466",0
"1985058331",0
"2894661194",0
"2707094376",0
"2149580899",0
"2672401310",17
"2174804332",29
"2120655840",0
"2117172792",0
"2716164251",0
"2136974360",0
"2162835502",0
"2890766642",0
"1142230260",0
"3004058878",0
"2886561478",0
"2113724362",22974.9130952381
"2166310275",0
"2031389704",0
"2081421353",0
"2720828248",0
"3002234261",0
"2693725741",0
"2012553288",0.5
"324205947",0
"2642244307",0
"61618545",59
"1987162562",0
"2190921344",0
"2980646991",1739
"2050734970",0
"2888904577",0
"2990914609",0
"2656046049",0
"3004746721",0
"3004596752",0
"2903560410",0
"2311469272",0
"2396222083",0
"2070151369",0
"2564848323",0
"2537523171",24203.7
"3005124906",0
"2081673732",0
"3006760781",0
"2254811842",0
"1980827145",0
"2643140380",0
"2347556717",0
"2006254856",0
"2159068403",0
"2114911754",0
"2723512386",0
"2036202081",44
"2027078345",0
"2808344896",0
"3004674744",0
"2184588153",0
"2633908122",0
"2031420067",4
"2156373944",5220
"2115085568",9
"2108345241",0
"703044121",537.974242424242
"2773145704",0
"1967854548",0
"2127547127",24960.5
"2104133778",0
"2675730248",0
"1995330977",78697.3432326407
"1448055808",0
"2805111322",45842.5
"2397688821",0
"2128942722",80
"2122588659",18151
"2821171372",0
"2134649220",0
"2712629841",0
"2917264916",238
"2156726337",0
"2201828777",0
"2999477889",0
"2037318288",0
"2110863555",0
"2226449433",0
"2164795600",0
"2999367147",0
"2466967280",0
"3008672134",0
"2214156830",0
"2130656219",0
"2132470913",6
"2697555113",0
"2166905699",0
"2313287600",0.5
"2157750842",34.25
"2433016722",0
"2109986305",0
"2665140913",0
"2106240841",0
"193906486",0
"2644323612",0
"2155697977",27069.75
"3005992942",0
"2136959692",1737
"2798735807",0
"2797917683",0
"2094461243",7.5
"2126101459",435.5
"2942996566",0
"3005963398",0
"2166357004",6
"2520031330",0
"2590934160",0
"2089011938",0
"2766876073",0
"2161154216",1870
"2136838914",0
"2508534234",0
"2152577076",0
"3001413195",0
"2102561201",537
"2105107880",3
"2034058919",0
"2025686339",0
"2676520496",0
"2681249609",0
"2221499633",47
"2672677146",0
"2779164984",0
"2970934634",0
"2124142177",0
"2689434645",9
"3004605331",0
"1486712937",0
"2166324948",0
"2090135549",240.650793650794
"2148573281",0
"2794078084",0
"2101549130",190
"2205926570",0
"2133447601",0
"2026468754",133
"2612408145",0
"2335797065",2.66666666666667
"2573777354",0
"2999912477",0
"2155267624",0
"2997381779",0
"136859070",22
"2522875133",0
"2480574720",0
"2666287913",0
"1972492785",0
"2947867070",0
"2111350408",95.5
"2940687314",0
"2746873584",0
"2617401169",0
"2193177924",0
"2509876434",0
"2551043811",0
"2068845266",6956
"2952901824",0
"1964108299",8
"2619034813",0
"2997711027",0
"431907532",135
"2335806832",0
"2136534804",7.5
"1860457788",0
"3006566361",0
"21141274",0
"2618467920",30
"1717278371",199604.213984586
"2165675528",0
"2979082169",0
"2628963648",0
"2771252618",0
"2553238320",0
"2168024214",6956
"2125058476",0
"2067334826",0
"2963852411",0
"2493697578",0
"2903163601",0
"2144446980",0
"320030408",0
"2095741505",72
"2304100315",0
"2309964180",0
"3005733106",0
"2114154267",0
"1674748237",28525.8747060129
