"","x"
"2136098704",14
"3006715596",5
"2134617069",1
"2147303057",5
"2173928475",3
"2110372033",4
"2798740569",3
"2166169346",8
"2999806802",2
"2896925261",2
"2332431601",7
"2997361570",1
"2485990391",6
"2910805963",3
"2321956385",8
"3000644883",4
"1957726339",3
"2085880977",12
"2117227233",3
"2195084585",3
"2281328248",3
"2964416584",1
"2077412667",4
"2170486521",2
"2275925890",4
"2006696304",3
"1981808175",5
"2155459209",2
"2432240979",5
"2998323256",1
"2145800998",5
"2677303338",3
"275295449",4
"2674943498",5
"2169730264",5
"2558643326",3
"2054370344",2
"2097307632",3
"2165524834",3
"2128744914",3
"2999847296",3
"2170902746",3
"2619953172",4
"3006027662",2
"2510357480",2
"2174223982",3
"2108281707",6
"2798324345",3
"2485693601",17
"2108610973",4
"116651648",3
"2286854676",10
"2307810573",7
"2512295138",5
"230207152",3
"640907747",5
"2062274946",9
"2296790386",3
"2136971955",9
"2920079408",4
"2097780584",4
"2110317904",9
"2551967728",3
"2163806414",4
"2193519928",10
"2140119931",3
"2440293705",2
"2234054260",3
"2124853440",9
"2562496240",4
"2261180507",10
"3007518425",4
"2145662684",4
"2156563753",3
"2106866729",11
"2647258314",1
"2162969788",9
"1967647065",3
"2056162298",2
"2343220795",3
"2133446560",5
"2996839376",3
"2123363778",1
"2118388651",8
"2780081819",2
"2118589368",6
"2304091908",2
"2057381973",3
"2223955259",2
"2080198120",5
"2140239056",4
"2558653614",10
"2073005353",2
"2539872688",8
"2770665993",4
"2984503296",2
"2768376156",5
"2037696420",2
"2888169797",4
"2320975971",2
"2171310226",13
"1125327664",2
"179541017",9
"2155868506",8
"2094422214",3
"2893846696",4
"2962821195",2
"2160322232",9
"2294809260",4
"2948330660",15
"2150171160",7
"2039272832",7
"2470191313",4
"2564026647",5
"3005761517",1
"2720128845",3
"2047018924",35
"2609446076",4
"2658314510",4
"2136579810",4
"1856602114",2
"2129805964",3
"2195225068",18
"2296660320",7
"2889782944",2
"2111257968",4
"3006142296",1
"2887262756",2
"2796845598",1
"2163449569",4
"274972177",3
"2018885664",3
"2746886937",4
"2791575240",3
"2698141184",2
"2636682381",9
"2936210408",4
"2595547658",8
"2102780747",6
"2644399636",1
"167516114",16
"2167944170",10
"1892887339",3
"2117676153",4
"2953065459",5
"2947046107",3
"2508661792",2
"2162010601",15
"436904763",4
"3000386758",4
"3003244807",7
"3002020858",2
"2949686457",5
"40878555",9
"2266841784",4
"1443938704",9
"2238785460",19
"2105138128",2
"2169565136",9
"2938699281",4
"2892098466",4
"2713950430",5
"1948338481",23
"1673229304",7
"2648197827",2
"3004290176",4
"704649009",1
