"","vector","value","options.bmat","options.n","options.which","options.nev","options.tol","options.ncv","options.ldv","options.ishift","options.maxiter","options.nb","options.mode","options.start","options.sigma","options.sigmai","options.info","options.iter","options.nconv","options.numop","options.numopb","options.numreo"
"2136098704",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"3006715596",3.21640143098583e-19,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2134617069",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2147303057",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2173928475",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2110372033",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2798740569",3.55377160792959e-17,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2166169346",1.49865850672568e-16,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2999806802",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2896925261",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2332431601",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2997361570",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2485990391",5.20580184534488e-17,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2910805963",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2321956385",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"3000644883",1.2949293312087e-17,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"1957726339",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2085880977",2.32821362573164e-15,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2117227233",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2195084585",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2281328248",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2964416584",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2077412667",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2170486521",8.33339970668061e-17,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2275925890",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2006696304",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"1981808175",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2155459209",0,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
"2432240979",2.66636510799972e-18,12.0208691654026,"I",12297,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,6,1,70,0,62
