
1 {67181763~98254821~2143545095~219847304~2050362196~2147779349~2103051094~2302846526} 8
2 {2922769536~102659459~2608279686~2153843592~2146418825~2275174282~1012037258~1443938704~2261438737~2209915284~2124068762~2151258658~2027806757~1251069865~2077013292~1899241907~2005967157~2041782220~2023528013~1997866575~78481487~2168876538~60412772~2974248810~2584554869~2182998134~2151224058} 27
3 {2119406083~110248967~1996694547~1505659925~2569801243~2158987803~2310047261~2636023837~2982321697~2067580452~2191762995~1975775799~2182528064~2148679243~2778015322~2944772701~2901634656~2886608485~1683929717~2511692926~2947944579~2268770951~2314522249~711491214~2303091855~2644468377~2095597210~1882226335~2310472353~2064825006~2613968562~2097855667~2186384567~2122726074~2250506443~2305796302~2109241050~2094020829~1915632865~212318434~2101918435~1740375789~2709506286~2115569417~2411345163~1985644814~2429249806~2150393614~2124825873~2945339168~338307364~2168298283~1246156588~2432250672~1948338481~2076715828~240551738~2191181116~1674748237~2130938194~2554561877~2108295011~2118858088~190355819~2277234034~1998267252~1954383733~2744818551~2916494712~2164963214~2309753748~2798283160~1966358937~86010270~2101451679~225598367~2146461601~2638209447~2201828777~2024405932~2141509037~2117512622~2090046896~2583445937~2150191547~2083719104~2150282183~2549490136~1256664030~2000276447~713914351~2111310834~303170550} 93
4 {217362401~2171760257~2440350627~2747451555~2693475689~2627035244~2630304268~2151480207~2963638965~2096442518~2140064154} 11
5 {2791575240~2122230155~2103741901~2525484854~2791090807~2791285215} 6
6 {120405888~2000339328~2121447554~418359043~2628732288~279246853~2097854478~2000890000~2051564305~699882257~2155704210~1245144852~1718920857~703044121~2479779355~372004123~2098977696~273705761~2086984996~2089553447~2118388651~1971963563~2129046703~1940150067~2801921460~2796647221~2081231542~2154831416~2027945657~2584867129~2066932283~2049957563~2527450174~80205887~1048266816~1013694654~2225861825~2133597766~2089644616~2000463690~1983684811~2196193366~2097021400~2575673690~2157703898~2152004062~2022157153~163945834~2132730091~2135692524~2232305648~2171349491~1971588212~1896170487~2013714938~2036828027~214083836~2093733119} 58
7 {2489318706~2100438523~2971394567~2420547463} 4
8 {2119334787~2062184520~2223634314~2127227788~1681877870~2014607665~1491583507~2934564564~2306929684~2000157277~2895057118} 11
9 {2974915138~1979418541~2809698391~2117676153~2038364924} 5
10 {2578350212~1937838343~2123216905~2516531922~2074051837} 5
11 {2288990880~2401946817~2141247578~2303071527~2397476871~2103085737~1931272746~1980495847~2136734126~2119414223~2618467920~1986472849~2146094130~2115508531~1578901359~2781658037~2614279893~2426852186~2101051293~2747680830} 20
12 {2152858243~2785766916~2143675271~1244974601~2154317579~2241151633~214878226~2109410961~2751928852~2681197077~2168024214~2420693655~2116128023~2135458458~2225372315~2652146461~1259251873~2884182306~2161348131~2024911655~2267075368~2048719660~2152671532~2141883181~2054844082~2792248371~2629861817~2113952954~2158893243~2766205113~2315179577~1977634491~2662218687~1968948545~2528984385~346703939~1725132105~1999507273~2168860362~2617022538~2898923852~2556489938~2974079445~2137345622~2153687383~2046393814~2312949851~2751003100~2143417181~2618995423~2144048996~2101444581~2116009706~1995790827~2420887148~2052320492~2006600044~2118316780~2775235949~1275797745~2160000370~260113394~2721685366~2974254207} 64
13 {2767610341~2247977062~2919209799~2689050472~2950916171~2407210511~2153792305~2279653074~2329440787~2225165882~2289392341~2140000278~2886142616~2058022777~2757203290~2099309692~2531853790} 17
14 {2123904192~2061252935~2060000013~2097859824~2049506257} 5
15 {2792647936~2133777537~2941906049~2257893379~2885106564~2942333189~2099983110~2922304776~2106476298~2886743564~2885476237~2044774160~2136098704~2941502995~2101255316~2758274969~2791776281~2704401562~2949337372~2115485213~2887018526~2940974881~2655204770~2047018924~2167348271~2251186863~2494791600~2156974514~2180561075~2492838068~2766489907~2886506806~2110029363~2031044659~2957948338~2951830967~2886178747~2919099579~2109655100~2956480190~2940832703~2097558208~2127240129~2954961981~2122098371~2564848323~1964939973~2564845501~2057037001~2131266506~2973674319~2942466256~2642494673~2663061329~393897811~2635429972~2307520724~2793298517~2148076503~2953524689~2913906394~2940682588~2142034015~2153496801~2656046049~2104136804~2479162221~2289637486~2940708845~2542471538~2945907445~2123900790~2165102328~1994637948~2119689471} 75
16 {2283865177~2163290450~2283394844~2094915575} 4
17 {1996560251~2707717367~2297469246~1270423079} 4
